file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,com.jakewharton.telecine.RecordingSession$Anonymous4,onPostExecute/1[com.jakewharton.telecine.Bitmap],false,364,4,2,0,2,2,2,8,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,4,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule$Anonymous1,"send/1[java.util.Map<java.lang.String,java.lang.String>]",false,34,0,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideRecordingNotificationPreference/1[com.jakewharton.telecine.SharedPreferences],false,64,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideVideoSizePercentagePreference/1[com.jakewharton.telecine.SharedPreferences],false,88,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideShowTouchesPreference/1[com.jakewharton.telecine.SharedPreferences],false,79,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideContentResolver/0,false,46,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideHideFromRecentsPreference/1[com.jakewharton.telecine.SharedPreferences],false,74,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,TelecineModule/1[com.jakewharton.telecine.TelecineApplication],true,27,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideShowCountdown/1[com.jakewharton.telecine.BooleanPreference],false,59,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideRecordingNotification/1[com.jakewharton.telecine.BooleanPreference],false,69,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideShowCountdownPreference/1[com.jakewharton.telecine.SharedPreferences],false,55,5,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideShowTouches/1[com.jakewharton.telecine.BooleanPreference],false,83,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideAnalytics/0,false,31,6,2,0,2,2,3,14,2,2,0,3,0,0,0,0,0,0,0,1,2,0,1,1,0,0,9,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideSharedPreferences/0,false,50,3,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineModule.java,com.jakewharton.telecine.TelecineModule,provideVideoSizePercentage/1[com.jakewharton.telecine.IntPreference],false,93,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/RecordingSession.java,com.jakewharton.telecine.RecordingSession$RecordingInfo,"RecordingInfo/4[int,int,int,int]",true,408,0,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,com.jakewharton.telecine.OverlayView$Listener,onResize/0,false,78,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,com.jakewharton.telecine.OverlayView$Listener,onStart/0,false,69,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,com.jakewharton.telecine.OverlayView$Listener,onCancel/0,false,66,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/OverlayView.java,com.jakewharton.telecine.OverlayView$Listener,onStop/0,false,75,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineApplication.java,com.jakewharton.telecine.TelecineApplication,onCreate/0,false,13,4,2,0,2,2,10,21,0,1,0,10,0,0,0,0,0,0,1,0,2,0,1,1,0,0,15,1,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/TelecineApplication.java,com.jakewharton.telecine.TelecineApplication,injector/0,false,39,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/DeleteRecordingBroadcastReceiver.java,com.jakewharton.telecine.DeleteRecordingBroadcastReceiver$Anonymous1,doInBackground/1[java.lang.Void[]],false,24,1,0,0,0,2,3,10,1,1,1,3,0,0,0,1,0,0,2,1,1,0,1,0,0,0,9,4,0,false
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,com.jakewharton.telecine.CheatSheet,remove/1[com.jakewharton.telecine.View],false,101,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,com.jakewharton.telecine.CheatSheet,"setup/2[com.jakewharton.telecine.View,int]",false,68,1,0,0,0,1,1,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,9,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,com.jakewharton.telecine.CheatSheet,"setup/2[com.jakewharton.telecine.View,java.lang.CharSequence]",false,86,1,0,0,0,1,1,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,9,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,com.jakewharton.telecine.CheatSheet,setup/1[com.jakewharton.telecine.View],false,50,1,2,2,0,1,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,9,0,true
/Users/danielogenrwot/Documents/Projects/roles-smells-metrics/src/bin/../../data/SourceProjects/Mobile/Telecine-1.6.2/telecine/src/main/java/com/jakewharton/telecine/CheatSheet.java,com.jakewharton.telecine.CheatSheet,"showCheatSheet/2[com.jakewharton.telecine.View,java.lang.CharSequence]",false,108,5,1,1,0,4,11,25,2,10,2,11,0,0,0,0,0,1,0,8,10,10,1,0,0,0,41,10,0,true
