index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
23,k9mail-library/src/main/java/com/fsck/k9/mail/K9MailLib.java,K9MailLib,67,7,5,3,0,FALSE,FALSE,3,FALSE,FALSE,3,3,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,public,5,0,0,FALSE,Information Holder
24,k9mail-library/src/main/java/com/fsck/k9/mail/Message.RecipientType.java,RecipientType,5,6,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
25,k9mail-library/src/main/java/com/fsck/k9/mail/Message.java,Message,237,4,17,5,4,FALSE,FALSE,1,FALSE,FALSE,5,13,9,6,FALSE,FALSE,FALSE,TRUE,FALSE,public,16,0,1,TRUE,Structurer
26,k9mail-library/src/main/java/com/fsck/k9/mail/MessageRetrievalListener.java,MessageRetrievalListener,11,0,0,0,0,FALSE,FALSE,3,TRUE,FALSE,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Structurer
27,k9mail-library/src/main/java/com/fsck/k9/mail/MessagingException.java,MessagingException,34,2,2,1,0,FALSE,FALSE,2,FALSE,FALSE,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Information Holder
28,k9mail-library/src/main/java/com/fsck/k9/mail/Multipart.java,Multipart,68,2,8,3,4,FALSE,FALSE,1,FALSE,FALSE,3,5,6,3,FALSE,FALSE,FALSE,TRUE,FALSE,public,8,0,0,TRUE,Structurer
29,k9mail-library/src/main/java/com/fsck/k9/mail/NetworkType.java,NetworkType,25,3,1,0,0,FALSE,FALSE,2,FALSE,FALSE,1,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,public,1,0,0,FALSE,Information Holder
30,k9mail-library/src/main/java/com/fsck/k9/mail/Part.java,Part,43,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
31,k9mail-library/src/main/java/com/fsck/k9/mail/PushReceiver.java,PushReceiver,18,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,0,0,3,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
32,k9mail-library/src/main/java/com/fsck/k9/mail/Pusher.java,Pusher,15,0,0,0,0,FALSE,FALSE,1,TRUE,FALSE,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
33,k9mail-library/src/main/java/com/fsck/k9/mail/ServerSettings.Type.java,Type,37,6,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,2,FALSE,FALSE,TRUE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
34,k9mail-library/src/main/java/com/fsck/k9/mail/ServerSettings.java,ServerSettings,217,9,5,0,1,FALSE,FALSE,2,FALSE,FALSE,2,6,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,public,4,0,1,FALSE,Information Holder
35,k9mail-library/src/main/java/com/fsck/k9/mail/Store.java,Store,50,0,8,0,1,FALSE,FALSE,1,FALSE,FALSE,0,2,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,8,0,0,TRUE,Information Holder
36,k9mail-library/src/main/java/com/fsck/k9/mail/Transport.java,Transport,14,2,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Service Provider
37,k9mail-library/src/main/java/com/fsck/k9/mail/TransportProvider.java,TransportProvider,29,1,2,0,2,FALSE,FALSE,2,TRUE,FALSE,1,2,6,1,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,0,0,FALSE,Service Provider
38,k9mail-library/src/main/java/com/fsck/k9/mail/TransportUris.java,TransportUris,227,0,8,0,0,FALSE,FALSE,2,FALSE,FALSE,10,8,7,10,FALSE,FALSE,FALSE,TRUE,FALSE,public,2,6,0,FALSE,Service Provider
39,k9mail-library/src/main/java/com/fsck/k9/mail/transport/WebDavTransport.java,WebDavTransport,39,1,3,0,0,FALSE,FALSE,3,FALSE,FALSE,2,1,9,4,FALSE,FALSE,FALSE,TRUE,FALSE,public,3,0,0,FALSE,Service Provider
40,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/EnhancedNegativeSmtpReplyException.java,EnhancedNegativeSmtpReplyException,16,3,0,0,0,FALSE,FALSE,5,FALSE,FALSE,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,default,0,0,0,FALSE,Information Holder
41,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/NegativeSmtpReplyException.java,NegativeSmtpReplyException,40,3,4,0,2,FALSE,FALSE,4,FALSE,FALSE,0,3,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,default,2,2,0,FALSE,Information Holder
42,k9mail-library/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransport.CommandResponse.java,CommandResponse,14,2,0,0,0,FALSE,FALSE,2,FALSE,FALSE,0,0,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,0,FALSE,Information Holder
