index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
1325,wallet/src/de/schildbach/wallet/Constants.Files.java,Files,53,13,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,4,2,TRUE,FALSE,TRUE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1326,wallet/src/de/schildbach/wallet/Logging.java,Logging,78,4,1,0,0,FALSE,FALSE,1,FALSE,FALSE,1,1,10,10,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,0,0,FALSE,Service Provider
1327,wallet/src/de/schildbach/walletwalletApplication.OnWalletLoadedListener.java,OnWalletLoadedListener,24,0,0,0,0,FALSE,FALSE,4,TRUE,FALSE,0,0,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
1328,wallet/src/de/schildbach/wallet/Constants.java,Constants,141,58,0,0,0,FALSE,FALSE,1,FALSE,FALSE,0,0,15,10,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
1329,wallet/src/de/schildbach/wallet/Configuration.java,Configuration,233,28,35,4,18,FALSE,FALSE,1,FALSE,FALSE,8,13,13,19,TRUE,FALSE,FALSE,TRUE,FALSE,public,34,1,0,FALSE,Information Holder
1330,wallet/src/de/schildbach/wallet/util/Base43.java,Base43,125,2,5,0,0,FALSE,FALSE,1,FALSE,FALSE,6,9,1,5,TRUE,FALSE,FALSE,TRUE,FALSE,public,2,3,0,FALSE,Service Provider
1331,wallet/src/de/schildbach/wallet/util/CheatSheet.java,CheatSheet,138,1,5,3,0,FALSE,FALSE,2,FALSE,FALSE,2,8,6,12,TRUE,FALSE,FALSE,TRUE,FALSE,public,4,1,0,FALSE,Service Provider
1332,wallet/src/de/schildbach/wallet/util/CrashReporter.ExceptionHandler.java,ExceptionHandler,47,1,2,0,0,FALSE,FALSE,2,TRUE,FALSE,0,3,5,1,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,1,0,FALSE,Service Provider
1333,wallet/src/de/schildbach/wallet/util/Bluetooth.java,Bluetooth,94,8,6,0,3,FALSE,FALSE,1,FALSE,FALSE,7,6,7,5,TRUE,FALSE,FALSE,TRUE,FALSE,public,6,0,0,FALSE,Service Provider
1334,wallet/src/de/schildbach/walletwalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,160,1,6,0,1,FALSE,FALSE,4,TRUE,FALSE,5,23,27,18,TRUE,FALSE,FALSE,TRUE,FALSE,public,3,3,0,FALSE,Interfacer
