index,Fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
802,\src\com\eteks\sweethome3d\io\DefaultHomeInputStream.java,DefaultHomeInputStream,477,5,10,0,0,FALSE,FALSE,4,FALSE,FALSE,29,16,29,44,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,9,0,FALSE,Service Provider
803,\src\com\eteks\sweethome3d\io\DefaultHomeOutputStream.HomeContentObjectsTracker.java,HomeContentObjectsTracker,116,2,2,0,1,FALSE,FALSE,4,TRUE,FALSE,10,1,12,9,TRUE,FALSE,TRUE,TRUE,FALSE,private,1,0,1,FALSE,Service Provider
804,\src\com\eteks\sweethome3d\io\DefaultHomeOutputStream.HomeObjectOutputStream.java,HomeObjectOutputStream,63,2,1,0,0,FALSE,FALSE,4,FALSE,FALSE,4,1,8,0,TRUE,FALSE,TRUE,TRUE,FALSE,private,0,0,1,FALSE,Service Provider
805,\src\com\eteks\sweethome3d\io\DefaultHomeOutputStream.java,DefaultHomeOutputStream,332,4,6,0,0,FALSE,FALSE,4,FALSE,FALSE,18,13,20,41,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,5,0,FALSE,Service Provider
806,\src\com\eteks\sweethome3d\io\DefaultLibrary.java,DefaultLibrary,129,14,9,0,9,FALSE,FALSE,2,FALSE,FALSE,0,2,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,default,8,1,0,FALSE,Information Holder
807,\src\com\eteks\sweethome3d\io\DefaultPatternTexture.java,DefaultPatternTexture,85,3,8,0,5,FALSE,FALSE,3,FALSE,FALSE,1,2,5,2,TRUE,FALSE,FALSE,TRUE,FALSE,default,7,1,0,FALSE,Information Holder
808,\src\com\eteks\sweethome3d\io\DefaultTexturesCatalog.java,DefaultTexturesCatalog,371,4,9,0,3,FALSE,FALSE,3,FALSE,FALSE,10,24,26,23,TRUE,FALSE,FALSE,TRUE,FALSE,public,1,6,2,FALSE,Structurer
809,\src\com\eteks\sweethome3d\io\DefaultTexturesCatalog.PropertyKey.java,PropertyKey,77,9,1,0,1,FALSE,FALSE,2,FALSE,FALSE,0,1,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,public,1,0,0,FALSE,Information Holder
810,\src\com\eteks\sweethome3d\io\DefaultUserPreferences.java,DefaultUserPreferences,225,0,10,0,3,FALSE,FALSE,3,FALSE,FALSE,5,12,19,3,TRUE,FALSE,FALSE,TRUE,FALSE,public,8,2,0,FALSE,Coordinator
811,\src\com\eteks\sweethome3d\io\FileUserPreferences.java,FileUserPreferences,1571,74,51,1,15,FALSE,FALSE,3,FALSE,FALSE,88,55,54,224,TRUE,FALSE,FALSE,TRUE,FALSE,public,17,24,10,FALSE,Structurer
