,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
14,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/LogConsolidated.java,LogConsolidated,219,13,14,4,4,FALSE,FALSE,2,FALSE,FALSE,8,25,7,17,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
15,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/Msg.java,Msg,287,7,8,0,7,FALSE,FALSE,1,FALSE,FALSE,6,10,14,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
16,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/Simulation.java,Simulation,2055,54,53,3,17,FALSE,FALSE,1,FALSE,FALSE,60,29,106,279,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
17,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/SimulationConfig.java,SimulationConfig,1207,66,40,2,29,FALSE,FALSE,2,FALSE,FALSE,51,6,46,99,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
18,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/Unit.java,Unit,1316,37,57,9,21,FALSE,FALSE,1,FALSE,FALSE,88,40,30,107,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Interfacer
19,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitEvent.java,UnitEvent,61,3,3,0,2,FALSE,FALSE,2,FALSE,FALSE,0,0,1,1,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
20,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitEventType.java,UnitEventType,142,72,2,0,1,FALSE,FALSE,3,FALSE,FALSE,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,public,0,0,0,FALSE,Information Holder
21,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitIdentifer.java,UnitIdentifer,7,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
22,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitListener.java,UnitListener,17,0,0,0,0,FALSE,FALSE,2,TRUE,FALSE,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
23,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/UnitManager.java,UnitManager,2844,59,99,3,49,FALSE,FALSE,2,TRUE,FALSE,163,53,52,427,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Controller
